Ackermann, Heide        Glenn Miller & Sauschwanzl (2009) (TV)  [Edda Hegerflint]  <7>
Ackermann, Heide        Goldfüchse (1974) (TV)  [Ludwigs Schwester]  <11>
Ackermann, Heide        Harte Jungs (2000)  [Buchverkäuferin]  <19>
Ackermann, Heide        Heldenstammtisch (2001) (TV)  [Aurelia Weindl]  <1>
Ackermann, Heide        Hopfazupfa (2005) (TV)  [Flora]  <3>
Ackermann, Heide        Hölleisengretl (1995) (TV)  [Rosl]  <5>
Ackermann, Heide        In einem anderen Leben (2005) (TV)  [Kundin]
Ackermann, Heide        Kabel und Liebe (1997)  [Frau Schulz]  <11>
Ackermann, Heide        Komödienstadel - Alles fest im Griff (2007) (TV)  [Anna Maria Bichler]  <1>
Ackermann, Heide        Komödienstadel - Die schöne Münchnerin (2008) (TV)  [Gräfin Deroy]  <7>
Ackermann, Heide        Komödienstadel - Duttenfeiler (2010) (TV)  [Tante Frieda]
Ackermann, Heide        Komödienstadel - Endstation Drachenloch (2009) (TV)  [Res Stangassinger]
Ackermann, Heide        Komödienstadel - Verhexte Hex (2009) (TV)  [Buckl Walli]
Ackermann, Heide        Martin Luther (1983) (TV)
Ackermann, Heide        Moving (1991)  [Alex' Mutter]  <7>
Ackermann, Heide        Paulas letzter Wille (2015) (TV)  [Paula Wendelberger]  <1>
Ackermann, Heide        Pumuckl und der blaue Klabauter (1994)  [Politesse]  <13>
Ackermann, Heide        Renate (2014)  [Evi]
Ackermann, Heide        Unterholz (2002) (TV)  [Frau Katzmayr]  <8>
Ackermann, Heide        Verlorenes Land (2002) (TV)  <14>
Ackermann, Heide        Wer Knecht ist, soll Knecht bleiben (1991) (TV)  [Frau Bachmayr]
Ackermann, Heide        Wildfeuer (1991)  <11>
Ackermann, Heide        Zeit der Fische (2005) (TV)  [Frau Ignatia]  <10>
Ackermann, Heidi        Der Struppi ist weg (1992) (TV)  <11>
Ackermann, Heidi        Skandal im Doktorhaus (2003) (TV)
Ackermann, Heike        Und täglich grüßt der Marienhof (1996) (V)  [Herself]  <1>
Ackermann, Jane 60 Seconds to Die (2017)  [Jane (segment "O Killing Tree, O Killing Tree")]
